simTime, rand 
      1,    4 
      1,    4 
      1,    8 
      1,    5 
      1,   10 
      1,    3 
      1,    8 
      1,    3 
      1,    2 
      1,    1 
      2,    4 
      2,    2 
      2,   10 
      2,   10 
      2,    6 
      2,    5 
      2,    6 
      2,    4 
      2,    6 
      2,    6 
      3,    9 
      3,    2 
      3,    9 
      3,    5 
      3,    9 
      3,    3 
      3,    7 
      3,    2 
      3,    8 
      3,    2 
      4,    5 
      4,    3 
      4,   10 
      4,    6 
      4,    2 
      4,    5 
      4,    1 
      4,    3 
      4,    2 
      4,    9 
      1,    2 
      1,    9 
      1,    8 
      1,    3 
      1,    5 
      1,    5 
      1,    7 
      1,    8 
      1,    1 
      1,    1 
      2,    9 
      2,    5 
      2,    8 
      2,    1 
      2,    5 
      2,    8 
      2,    3 
      2,   10 
      2,   10 
      2,    1 
      3,    1 
      3,    6 
      3,   10 
      3,    4 
      3,    3 
      3,    5 
      3,    1 
      3,    3 
      3,    5 
      3,    5 
