nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y,  A9x,  A9y 
   0,   11,   63,    1,   25,   10,   48,   11,   57,    1,   43,   11,   60,    1,   52,   10,   43,   11,   65,   11,   64
   1,    1,   51,   11,   62,    1,   17,    1,   44,   11,   65,    1,   58,    1,   55,   10,   36,   10,   47,   11,   62
   2,    0,   41,   11,   56,    1,   59,    0,   45,    0,   64,   11,   59,    0,   33,   10,   63,    0,   44,   10,   52
   3,   11,   60,   11,   61,   10,   49,   10,   47,   10,   44,    0,   26,   10,   55,    1,   16,   11,   64,   11,   64
   4,   11,   65,   10,   47,   10,   44,   11,   64,   11,   61,   11,   60,    1,   47,   11,   65,   11,   54,   10,   50
   5,   10,   61,    0,   53,    0,   28,   11,   57,   11,   55,    0,   51,    0,   45,   11,   60,   10,   36,   10,   54
   6,   10,   47,    1,   64,    0,   19,   11,   56,    0,   28,   11,   65,    0,   38,    0,   30,    0,   49,    1,   21
   7,   10,   37,    0,   65,    0,   35,   10,   61,   11,   56,   10,   64,    0,   50,   11,   58,    1,   44,    1,   21
   8,    1,   34,   10,   51,    1,   31,   11,   57,   10,   36,   10,   46,    0,   31,    0,   63,    1,   27,    1,   63
   9,   10,   54,   10,   47,    1,   47,    0,   27,    1,   24,   10,   47,   11,   60,    1,   33,   10,   48,   10,   37
  10,    1,   25,    0,   43,    1,   42,   11,   64,    1,   28,    1,   55,   11,   63,    0,   65,   10,   38,   10,   65
  11,    1,   48,    1,   23,   10,   36,   11,   60,    0,   23,   10,   62,    1,   64,    0,   58,    1,   16,    1,   36
  12,   11,   64,    0,   43,   10,   46,   11,   57,    0,   19,   10,   52,   11,   65,   11,   54,   10,   57,   10,   57
  13,   11,   61,    1,   41,    0,   46,    0,   25,    1,   54,   10,   46,   10,   37,    0,   65,    1,   33,   10,   44
  14,    1,   24,    0,   26,   10,   38,    1,   29,    1,   17,   11,   59,   11,   65,    1,   37,   10,   48,    1,   51
  15,   11,   65,   10,   47,   11,   61,    0,   22,   10,   37,    0,   36,   10,   49,    1,   43,   10,   48,    1,   65
