nExp, Time,  AVy,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y 
   0,    0,    0,   11,   63,    1,   25,   10,   48
   0,    1,    0,   10,   49
   0,    2,    6,   10,   50
   0,    3,   12,   10,   51
   0,    4,   18,   10,   52
   0,    5,   24,   10,   53
   0,    6,   30,   10,   54
   0,    7,   36,   10,   55
   0,    8,   42,   10,   56
   0,    9,   48,   10,   57
   0,   10,   54,   10,   58
   0,    1,    0,   11,   57,    1,   43,   11,   60
   1,    1,    1,   11,   61
   1,    2,    7,   11,   62
   1,    3,   13,   11,   63
   1,    4,   19,   11,   64
   1,    5,   25,   11,   65
   1,    6,   31,   11,   64
   1,    7,   37,   10,   64
   1,    8,   43,    9,   64
   0,    2,    0,    1,   52,   10,   43,   11,   65
   2,    1,    2,   10,   65
   2,    2,    8,    9,   65
   2,    3,   14,    8,   65
   2,    4,   20,    7,   65
   2,    5,   26,    6,   65
   2,    6,   32,    5,   65
   2,    7,   38,    4,   65
   2,    8,   44,    3,   65
   2,    9,   50,    2,   65
   2,   10,   56,    1,   65
   2,   11,   62,    2,   65
   0,    3,    0,   11,   64,    1,   51,   11,   62
   3,    1,    3,   11,   61
   3,    2,    9,   10,   61
   3,    3,   15,    9,   61
   3,    4,   21,    8,   61
   3,    5,   27,    7,   61
   3,    6,   33,    6,   61
   3,    7,   39,    5,   61
   3,    8,   45,    4,   61
   3,    9,   51,    3,   61
   3,   10,   57,    2,   61
   0,    4,    0,    1,   17,    1,   44,   11,   65
   4,    1,    2,   11,   64
   4,    2,    8,   11,   63
   4,    3,   14,   11,   62
   4,    4,   20,   11,   61
   4,    5,   26,   11,   60
   4,    6,   32,   11,   59
   4,    7,   38,   11,   58
   4,    8,   44,   11,   57
   4,    9,   50,   11,   56
   4,   10,   56,   11,   55
   4,   11,   62,   11,   54
   0,    5,    0,    1,   58,    1,   55,   10,   36
   5,    1,    3,   10,   37
   5,    2,    9,   10,   38
   5,    3,   15,   10,   39
   5,    4,   21,   10,   40
   5,    5,   27,   10,   41
   5,    6,   33,   10,   42
   5,    7,   39,   10,   43
   5,    8,   45,   10,   44
   5,    9,   51,    9,   44
   5,   10,   57,    8,   44
   5,   11,   63,    7,   44
   0,    6,    0,   10,   47,   11,   62,    0,   41
   6,    1,    4,    0,   40
   6,    2,   10,    0,   39
   6,    3,   16,    0,   38
   6,    4,   22,    0,   37
   6,    5,   28,    0,   36
   6,    6,   34,    0,   35
   6,    7,   40,    0,   34
   6,    8,   46,    0,   33
   6,    9,   52,    0,   32
   6,   10,   58,    0,   31
   0,    7,    0,   11,   56,    1,   59,    0,   45
   7,    1,    1,    0,   46
   7,    2,    7,    0,   47
   7,    3,   13,    1,   47
   7,    4,   19,    2,   47
   7,    5,   25,    3,   47
   7,    6,   31,    4,   47
   7,    7,   37,    5,   47
   7,    8,   43,    6,   47
   7,    9,   49,    7,   47
   0,    8,    0,    0,   64,   11,   59,    0,   33
   8,    1,    0,    0,   32
   8,    2,    6,    0,   31
   8,    3,   12,    0,   30
   8,    4,   18,    0,   29
   8,    5,   24,    1,   29
   8,    6,   30,    2,   29
   8,    7,   36,    3,   29
   8,    8,   42,    4,   29
