simTime, rand 
      1,    2 
      1,    1 
      1,   10 
      2,    5 
      2,    7 
      2,    6 
      3,    8 
      3,    9 
      3,    4 
      4,    7 
      4,    1 
      4,    3 
      1,    2 
      1,    9 
      1,    8 
      2,    3 
      2,    5 
      2,    5 
      3,    7 
      3,    8 
      3,    1 
      4,    1 
      4,    9 
      4,    5 
      5,    8 
      5,    1 
      5,    5 
      6,    8 
      6,    3 
      6,   10 
      7,   10 
      7,    1 
      7,    1 
      8,    6 
      8,   10 
      8,    4 
      1,   10 
      1,   10 
      1,    1 
